,measure_time,timestamp,latitude,longitude,temperature_value,oxygen_mpl_value,oxygen_per_value,oxygen_ppm_value
count,78397.0,78397,78397.0,78397.0,78397.0,78397.0,78397.0,78397.0
mean,1726284982654.4255,2024-09-14 03:36:22.654425600,34.382059035536045,126.73481003929176,26.620157593648127,2.0479320468625968,26.00910612974514,2.0479320468625968
min,1723680048147.0,2024-08-15 00:00:48.147000,1.9636015892028809,1.9636015892028809,22.32078742980957,0.0,0.0,0.0
25%,1725005071148.0,2024-08-30 08:04:31.148000,34.382442474365234,126.73637390136719,26.090970993041992,0.0,0.0,0.0
50%,1726291112849.0,2024-09-14 05:18:32.848999936,34.3824691772461,126.73640441894531,27.10824966430664,2.1276445388793945,27.40468978881836,2.1276445388793945
75%,1727577261952.0,2024-09-29 02:34:21.952000,34.38249969482422,126.7364273071289,27.83708953857422,4.073577880859375,51.56013870239258,4.073577880859375
max,1728863961704.0,2024-10-13 23:59:21.704000,34.382720947265625,126.73677062988281,30.102706909179688,5.198676109313965,67.05099487304688,5.198676109313965
std,1494505947.3403745,,0.1157839047764858,0.44562567076618886,1.844953562384611,1.9214781675150885,24.37539156768355,1.9214781675150885
