,measure_time,timestamp,date_time,latitude,longitude,temperature_value,oxygen_mpl_value,oxygen_per_value,oxygen_ppm_value
count,35322.0,35322,35322,35322.0,35322.0,35322.0,35322.0,35322.0,35322.0
mean,1727690110113.9434,2024-09-30 09:55:10.113943040,2024-09-30 09:55:09.616075264,34.333525072481386,127.07312620795129,25.382814441043937,5.994908950947876,73.29759454426409,5.994908950947876
min,1726444818640.0,2024-09-16 00:00:18.640000,2024-09-16 00:00:18,0.0,1.9636015892028809,22.86227035522461,0.0,0.0,0.0
25%,1727100563204.25,2024-09-23 14:09:23.204249856,2024-09-23 14:09:23,34.33720397949219,127.083740234375,23.89580535888672,6.072299003601074,75.07513427734375,6.072299003601074
50%,1727704054169.5,2024-09-30 13:47:34.169500160,2024-09-30 13:47:34,34.33723449707031,127.08374786376953,25.435538291931152,6.336119174957275,78.19257354736328,6.336119174957275
75%,1728284368744.5,2024-10-07 06:59:28.744499968,2024-10-07 06:59:28,34.33728790283203,127.0837631225586,26.379520893096924,6.6714465618133545,80.63147735595703,6.6714465618133545
max,1728863978820.0,2024-10-13 23:59:38.820000,2024-10-13 23:59:38,34.33746337890625,127.08390045166016,28.91172218322754,8.66169548034668,107.72005462646484,8.66169548034668
std,687585508.6474544,,,0.34983387492763396,1.1530627695092588,1.5977426307477096,1.536646912757764,18.837032651315017,1.536646912757764
