,measure_time,timestamp,latitude,longitude,temperature_value,oxygen_mpl_value,oxygen_per_value,oxygen_ppm_value
count,60635.0,60635,60635.0,60635.0,60635.0,60635.0,60635.0,60635.0
mean,1726408536417.6338,2024-09-15 13:55:36.417634048,34.334129770289465,127.07353836666519,26.123848173975542,6.364757882695262,78.92859289637858,6.364757882695262
min,1723680063099.0,2024-08-15 00:01:03.099000,0.0,1.9636015892028809,22.86227035522461,0.0,0.0,0.0
25%,1724675303914.0,2024-08-26 12:28:23.913999872,34.33721160888672,127.083740234375,24.51655673980713,6.203235149383545,77.10730361938477,6.203235149383545
50%,1726849825800.0,2024-09-20 16:30:25.800000,34.3372459411621,127.08375549316406,26.136322021484375,6.56102705001831,80.54674530029297,6.56102705001831
75%,1727868564532.0,2024-10-02 11:29:24.532000,34.33729553222656,127.08377075195312,27.626283645629883,6.9107301235198975,86.38350677490234,6.9107301235198975
max,1728863978820.0,2024-10-13 23:59:38.820000,34.8969497680664,127.57984161376953,30.940937042236328,8.66169548034668,107.72005462646484,8.66169548034668
std,1666053724.8156066,,0.3254567446377153,1.1361738559149102,1.7328890062395925,1.288846802106449,16.286320317674374,1.288846802106449
