device_id,device_type,measure_time,serial_number,coordinates,temperature,oxygen_mpl,oxygen_per,oxygen_ppm,timestamp,date_time
wando01,Buoy,1731832903752,SN-PODOC-3833,"{'latitude': 34.382442474365234, 'longitude': 126.73636627197266}","{'value': 18.298015594482422, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:41:43.752,2024-11-17 08:41:43
wando01,Buoy,1731832839401,SN-PODOC-3833,"{'latitude': 34.382442474365234, 'longitude': 126.73636627197266}","{'value': 18.306991577148438, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:40:39.401,2024-11-17 08:40:39
wando01,Buoy,1731832775040,SN-PODOC-3833,"{'latitude': 34.382442474365234, 'longitude': 126.73636627197266}","{'value': 18.30624771118164, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:39:35.040,2024-11-17 08:39:35
wando01,Buoy,1731832710714,SN-PODOC-3833,"{'latitude': 34.382442474365234, 'longitude': 126.73636627197266}","{'value': 18.304994583129883, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:38:30.714,2024-11-17 08:38:30
wando01,Buoy,1731832646395,SN-PODOC-3833,"{'latitude': 34.382442474365234, 'longitude': 126.73636627197266}","{'value': 18.289663314819336, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:37:26.395,2024-11-17 08:37:26
wando01,Buoy,1731832582085,SN-PODOC-3833,"{'latitude': 34.382442474365234, 'longitude': 126.73637390136719}","{'value': 18.289306640625, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:36:22.085,2024-11-17 08:36:22
wando01,Buoy,1731832517784,SN-PODOC-3833,"{'latitude': 34.382442474365234, 'longitude': 126.73637390136719}","{'value': 18.298433303833008, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:35:17.784,2024-11-17 08:35:17
wando01,Buoy,1731832453485,SN-PODOC-3833,"{'latitude': 34.382442474365234, 'longitude': 126.73637390136719}","{'value': 18.316207885742188, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:34:13.485,2024-11-17 08:34:13
wando01,Buoy,1731832389169,SN-PODOC-3833,"{'latitude': 34.382442474365234, 'longitude': 126.73637390136719}","{'value': 18.326379776000977, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:33:09.169,2024-11-17 08:33:09
wando01,Buoy,1731832324943,SN-PODOC-3833,"{'latitude': 34.382442474365234, 'longitude': 126.73637390136719}","{'value': 18.34349822998047, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:32:04.943,2024-11-17 08:32:04
