device_id,device_type,measure_time,serial_number,coordinates,temperature,oxygen_mpl,oxygen_per,oxygen_ppm,timestamp,date_time
wando01,Buoy,1732289811883,SN-PODOC-3833,"{'latitude': 34.3824234008789, 'longitude': 126.73635864257812}","{'value': 15.42449951171875, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 15:36:51.883,2024-11-22 15:36:51
wando01,Buoy,1732289747583,SN-PODOC-3833,"{'latitude': 34.3824234008789, 'longitude': 126.73635864257812}","{'value': 15.423604965209961, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 15:35:47.583,2024-11-22 15:35:47
wando01,Buoy,1732289683277,SN-PODOC-3833,"{'latitude': 34.3824234008789, 'longitude': 126.73635864257812}","{'value': 15.415849685668945, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 15:34:43.277,2024-11-22 15:34:43
wando01,Buoy,1732289618988,SN-PODOC-3833,"{'latitude': 34.3824234008789, 'longitude': 126.73635864257812}","{'value': 15.420711517333984, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 15:33:38.988,2024-11-22 15:33:38
wando01,Buoy,1732289554682,SN-PODOC-3833,"{'latitude': 34.3824234008789, 'longitude': 126.73635864257812}","{'value': 15.418922424316406, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 15:32:34.682,2024-11-22 15:32:34
wando01,Buoy,1732289490452,SN-PODOC-3833,"{'latitude': 34.3824234008789, 'longitude': 126.73635864257812}","{'value': 15.418922424316406, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 15:31:30.452,2024-11-22 15:31:30
wando01,Buoy,1732289426211,SN-PODOC-3833,"{'latitude': 34.3824234008789, 'longitude': 126.73635864257812}","{'value': 15.417430877685547, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 15:30:26.211,2024-11-22 15:30:26
wando01,Buoy,1732289361994,SN-PODOC-3833,"{'latitude': 34.3824234008789, 'longitude': 126.73635864257812}","{'value': 15.4143590927124, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 15:29:21.994,2024-11-22 15:29:21
wando01,Buoy,1732289297751,SN-PODOC-3833,"{'latitude': 34.3824234008789, 'longitude': 126.73636627197266}","{'value': 15.406723976135254, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 15:28:17.751,2024-11-22 15:28:17
wando01,Buoy,1732289233533,SN-PODOC-3833,"{'latitude': 34.3824234008789, 'longitude': 126.73635864257812}","{'value': 15.405500411987305, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 15:27:13.533,2024-11-22 15:27:13
