,measure_time,timestamp,date_time,latitude,longitude,temperature_value,oxygen_mpl_value,oxygen_per_value,oxygen_ppm_value
count,24346.0,24346,24346,24346.0,24346.0,24346.0,24346.0,24346.0,24346.0
mean,1724549214973.19,2024-08-25 01:26:54.973190144,2024-08-25 01:26:54.475848192,34.33488128195653,127.07372972178477,27.10456942846044,6.898731934018528,86.9305046042058,6.898731934018528
min,1723680063099.0,2024-08-15 00:01:03.099000,2024-08-15 00:01:03,1.9636015892028809,1.9636015892028809,24.1521167755127,5.18687105178833,66.0248565673828,5.18687105178833
25%,1724079503044.0,2024-08-19 14:58:23.044000,2024-08-19 14:58:22.249999872,34.337223052978516,127.08374786376953,26.116873264312744,6.582507967948914,82.5144271850586,6.582507967948914
50%,1724479420976.0,2024-08-24 06:03:40.976000,2024-08-24 06:03:40.500000,34.33726119995117,127.0837631225586,27.13511848449707,6.8590989112854,87.08611679077148,6.8590989112854
75%,1724878676948.5,2024-08-28 20:57:56.948499968,2024-08-28 20:57:56.750000128,34.33730697631836,127.08377838134766,28.181782245635986,7.23301601409912,91.56286811828613,7.23301601409912
max,1726358353736.0,2024-09-14 23:59:13.736000,2024-09-14 23:59:13,34.8969497680664,127.57984161376953,30.940937042236328,8.19722557067871,102.26589965820312,8.19722557067871
std,622191060.1762842,,,0.29368150753857597,1.134072654170105,1.3374259769978945,0.47532989671052944,5.900574649975328,0.47532989671052944
