,measure_time,timestamp,date_time,latitude,longitude,temperature_value,oxygen_mpl_value,oxygen_per_value,oxygen_ppm_value
count,40223.0,40223,40223,40223.0,40223.0,40223.0,40223.0,40223.0,40223.0
mean,1725026338509.4775,2024-08-30 13:58:58.509477632,2024-08-30 13:58:58.009571584,34.381665956226286,126.73330121970594,27.52408284846754,3.8162527975797373,48.44168434695976,3.8162527975797373
min,1723680048147.0,2024-08-15 00:00:48.147000,2024-08-15 00:00:48,1.9636015892028809,1.9636015892028809,24.489561080932617,0.2788243293762207,3.41587495803833,0.2788243293762207
25%,1724339560673.5,2024-08-22 15:12:40.673500160,2024-08-22 15:12:40,34.38243865966797,126.73637390136719,26.92509365081787,3.4590343236923218,43.86189842224121,3.4590343236923218
50%,1725038732031.0,2024-08-30 17:25:32.031000064,2024-08-30 17:25:32,34.3824691772461,126.73640441894531,27.722591400146484,4.05970573425293,51.374881744384766,4.05970573425293
75%,1725698684068.0,2024-09-07 08:44:44.068000,2024-09-07 08:44:43.500000,34.38249969482422,126.73643493652344,28.02072525024414,4.308217287063599,54.619747161865234,4.308217287063599
max,1726358348955.0,2024-09-14 23:59:08.955000,2024-09-14 23:59:08,34.38270950317383,126.73664855957031,30.102706909179688,5.198676109313965,67.05099487304688,5.198676109313965
std,776682319.5540037,,,0.16164439931783053,0.622132226323655,0.8020186674946082,0.7582164445830248,9.544060828038846,0.7582164445830248
