,measure_time,timestamp,date_time,latitude,longitude,temperature_value,oxygen_mpl_value,oxygen_per_value,oxygen_ppm_value
count,36861.0,36861,36861,36861.0,36861.0,36861.0,36861.0,36861.0,36861.0
mean,1727654270824.3936,2024-09-29 23:57:50.824393216,2024-09-29 23:57:50.325438720,34.38247374772139,126.73640033321112,25.555355302439093,0.11908290522324723,1.5172512643599512,0.11908290522324723
min,1726444802487.0,2024-09-16 00:00:02.487000,2024-09-16 00:00:02,34.3823471069336,126.7361068725586,22.32078742980957,0.0,0.0,0.0
25%,1727049415340.0,2024-09-22 23:56:55.340000,2024-09-22 23:56:55,34.382442474365234,126.73637390136719,23.42178726196289,0.0,0.0,0.0
50%,1727653646170.0,2024-09-29 23:47:26.169999872,2024-09-29 23:47:26,34.3824691772461,126.73640441894531,26.131563186645508,0.0,0.0,0.0
75%,1728259416878.0,2024-10-07 00:03:36.878000128,2024-10-07 00:03:36,34.38249969482422,126.7364273071289,27.214279174804688,0.03593816980719566,0.44489428400993347,0.03593816980719566
max,1728863961704.0,2024-10-13 23:59:21.704000,2024-10-13 23:59:21,34.382720947265625,126.73677062988281,29.61506462097168,2.0308260917663574,26.46817970275879,2.0308260917663574
std,698537616.1120044,,,4.272425690238954e-05,4.0462598724874725e-05,2.0796911668715032,0.2851317930090296,3.660189263373018,0.2851317930090296
